Year,real_num_nodes,real_num_edges,real_avg_degree,real_max_degree,real_avg_clustering,real_num_components,real_largest_cc_size,real_avg_shortest_path_length,real_avg_closeness,real_max_closeness
1978,3,3,2.0,2,1.0,1,3,1.0,1.0,1.0
1980,4,3,1.5,2,1.0,1,3,1.0,1.0,1.0
1981,7,6,1.7142857142857142,2,1.0,2,3,1.0,1.0,1.0
1982,28,79,5.642857142857143,16,0.8648428731762066,4,19,1.6491228070175439,0.7405932030932031,1.0
1983,34,89,5.235294117647059,18,0.8578713673869384,5,22,1.7705627705627707,0.7176981562490413,1.0
1984,55,135,4.909090909090909,20,0.8652658871291014,9,29,1.938423645320197,0.7344993346378386,1.0
1985,62,152,4.903225806451613,20,0.8413575483184991,9,30,1.9586206896551723,0.7062083581288133,1.0
1986,88,212,4.818181818181818,25,0.8001401699076117,11,38,2.1009957325746798,0.6798970880810018,1.0
1987,140,357,5.1,25,0.8270157982114504,13,46,2.7381642512077295,0.6114118537763092,1.0
1988,190,468,4.926315789473684,27,0.8157288840886725,18,56,2.851948051948052,0.6025567786235329,1.0
1989,225,523,4.648888888888889,29,0.7971895360587593,23,60,2.8536723163841806,0.6184747597711336,1.0
1990,270,624,4.622222222222222,30,0.7812167057734818,22,66,2.8904428904428903,0.564881613578897,1.0
1991,338,796,4.710059171597633,44,0.7915024116868992,21,128,3.75123031496063,0.4941942485849712,1.0
1992,424,977,4.6084905660377355,46,0.7695540907794356,27,188,4.880304926612811,0.4631861397249056,1.0
1993,543,1404,5.171270718232044,50,0.778217680596377,31,246,4.829434212709474,0.46029072580284774,1.0
1994,658,1839,5.589665653495441,58,0.7836988233212029,32,348,5.3665573553281,0.41418792005968336,1.0
1995,786,2252,5.730279898218829,68,0.7879593131227477,31,406,5.050513896490908,0.4069676612963809,1.0
1996,939,2704,5.759318423855165,79,0.7950465493830218,36,538,4.795656718794349,0.3924280550797125,1.0
1997,1115,3394,6.087892376681614,89,0.8027130255299029,34,688,4.825056700856437,0.36706042409225303,1.0
1998,1345,4344,6.459479553903345,99,0.80321198310804,35,987,4.7664630048644545,0.32490831335954523,1.0
1999,1626,5568,6.8487084870848705,118,0.8133343619964051,37,1270,4.953237405607987,0.30515508139705805,1.0
2000,1934,6645,6.8717683557394,131,0.8182379908519546,36,1699,5.3409717210497965,0.2627517719433243,1.0
2001,2215,7755,7.002257336343115,146,0.8173187854676832,40,1918,5.287773137881085,0.27014831694240227,1.0
2002,2661,9673,7.2701991732431415,170,0.821946790705684,40,2347,4.846597804383605,0.27399253870454926,1.0
2003,3239,13073,8.072244519913554,201,0.8197389502747614,40,2929,4.7217370761949,0.26574939451085833,1.0
2004,3832,15804,8.248434237995825,224,0.8174555718216784,37,3553,4.634815648747537,0.2566147324131405,1.0
2005,4582,19767,8.628109995635095,256,0.8222041831024016,38,4233,4.551958417457219,0.2585430085641077,1.0
2006,5291,22935,8.66943866943867,286,0.8197636156509903,39,4880,4.461526649844264,0.26048800262956934,1.0
2007,6035,26225,8.690969345484673,318,0.820451292644048,34,5694,4.500731399383674,0.25211202611550637,1.0
2008,6932,31796,9.173687247547605,358,0.81988971016593,32,6551,4.459997319912699,0.25143301750310526,1.0
2009,7809,36408,9.324625432193622,415,0.8202693017145828,29,7461,4.460156603435272,0.2469408116910702,1.0
2010,8714,41140,9.442276795960524,436,0.8205419549302618,26,8385,4.456651508737431,0.243572981936631,1.0
2011,9708,46348,9.548413679439637,458,0.821366666866406,24,9464,4.489498227246055,0.23798670511600512,1.0
2012,10911,52581,9.638163321418752,501,0.8224714586471927,21,10655,4.476273699137858,0.23764980258842835,1.0
2013,12282,62124,10.116267708842209,546,0.8235751095050636,22,11993,4.44994336533981,0.23847127915536273,1.0
2014,13557,69804,10.297853507413144,578,0.8231543349345238,12,13412,4.457615107032849,0.23244307908496412,1.0
2015,14990,79401,10.593862575050034,601,0.8229010320212311,16,14807,4.414091660758858,0.23475567778138456,1.0
2016,16612,90404,10.884180110763303,635,0.8232039150919573,14,16431,4.419625892345397,0.23358934104746948,1.0
2017,18535,104280,11.252225519287833,684,0.825111884812489,9,18381,4.404873651584325,0.23298722632758154,1.0
2018,20434,115629,11.317314280121366,716,0.8246682349337192,9,20392,4.398266340089308,0.2314899422081608,1.0
2019,22668,132669,11.705399682371626,761,0.8265879453505544,6,22648,4.343235556661508,0.23356604863104832,1.0
2020,25266,152989,12.11026676165598,781,0.8265554977321693,6,25247,4.285568939332536,0.2363029262086482,1.0
2021,28016,182048,12.99600228440891,952,0.8287262233581335,6,27997,4.249202546822381,0.2381555504647596,1.0
2022,31401,311756,19.8564376930671,1203,0.8327468141638906,6,31382,4.16618174481416,0.24284329483047257,1.0
2023,34862,353732,20.293270609833055,1431,0.8331656932944749,6,34843,4.101924696683189,0.24651489346346034,1.0
2024,39060,426763,21.851664106502817,1727,0.8346999051497237,5,39044,4.044313146386481,0.2498447015014924,1.0
2025,39974,439062,21.96737879621754,1811,0.834564185556741,5,39958,4.033456189138246,0.2505089647732464,1.0
