name,country,institution,dblp,pid,final_url,expertise
aaron elmore,united states,university of chicago,https://dblp.org/pers/e/Elmore:Aaron_J=.html,75-9436,https://dblp.org/pid/75/9436.html,5
abdalghani abujabal,germany,amazon alexa,https://dblp.org/pers/a/Abujabal:Abdalghani.html,162-9092,https://dblp.org/pid/162/9092.html,4
abdul quamar,united states,ibm research almaden,https://dblp.org/pers/q/Quamar:Abdul.html,127-6195,https://dblp.org/pid/127/6195.html,8
abdulhakim qahtan,netherlands,utrecht university,https://dblp.org/pid/121/4198.html,121-4198,https://dblp.org/pid/121/4198.html,8
abhijnan chakraborty,germany,max planck institute for software systems,https://dblp.org/pers/c/Chakraborty:Abhijnan.html,116-1678,https://dblp.org/pid/116/1678.html,2
abhishek kumar singh,india,international institute of information technology hyderabad,https://dblp.org/pers/s/Singh:Abhishek_Kumar.html,139-0855,https://dblp.org/pid/139/0855.html,4
abolfazl asudeh,united states,university of illinois at chicago,https://dblp.org/pid/04/7892.html,04-7892,https://dblp.org/pid/04/7892.html,9
abolfazl asudeh,united states,university of michifan,https://dblp.org/pid/04/7892.html,04-7892,https://dblp.org/pid/04/7892.html,9
adam jatowt,japan,kyoto university,https://dblp.uni-trier.de/pid/j/AdamJatowt.html,j-AdamJatowt,https://dblp.uni-trier.de/pid/j/AdamJatowt.html,8
adam lee,united states,university of pittsburgh,https://dblp.org/pid/62/1373.html,62-1373,https://dblp.org/pid/62/1373.html,7
alexander thomson,united states,google,https://dblp.org/pid/21/8510.html,21-8510,https://dblp.org/pid/21/8510.html,8
alexandra meliou,united states,umass amherst,https://dblp.org/pers/m/Meliou:Alexandra.html,04-1835,https://dblp.org/pid/04/1835.html,3
alexandros labrinidis,united states,university of pittsburgh,https://dblp.org/pid/l/ALabrinidis.html,l-ALabrinidis,https://dblp.org/pid/l/ALabrinidis.html,3
alexandros ntoulas,united states,linkedin,https://dblp.org/pers/n/Ntoulas:Alexandros.html,92-2820,https://dblp.org/pid/92/2820.html,7
alfons kemper,germany,technical university of munich,https://dblp.org/pid/k/AlfonsKemper.html,k-AlfonsKemper,https://dblp.org/pid/k/AlfonsKemper.html,7
alfons kemper,germany,tu munich,https://dblp.org/pid/k/AlfonsKemper.html,k-AlfonsKemper,https://dblp.org/pid/k/AlfonsKemper.html,5
ali ahmadvand,united states,emory university,https://dblp.org/pers/a/Ahmadvand:Ali.html,159-6520,https://dblp.org/pid/159/6520.html,8
alin deutsch,united states,ucsd,https://dblp.org/pid/d/AlinDeutsch.html,d-AlinDeutsch,https://dblp.org/pid/d/AlinDeutsch.html,6
aline bessa,united states,new york university,https://dblp.org/pid/134/9031.html,134-9031,https://dblp.org/pid/134/9031.html,8
alireza heidari,canada,u waterloo,https://dblp.org/pid/164/1401.html,164-1401,https://dblp.org/pid/164/1401.html,9
alkis polyzotis,united states,"google, usa",https://dblp.org/pid/p/NeoklisPolyzotis.html,p-NeoklisPolyzotis,https://dblp.org/pid/p/NeoklisPolyzotis.html,6
alkis simitsis,greece,athena research center,https://dblp.uni-trier.de/pers/s/Simitsis:Alkis.html,s-ASimitsis,https://dblp.uni-trier.de/pid/s/ASimitsis.html,6
allison holloway,united states,oracle,https://dblp.org/pers/h/Holloway:Allison.html,163-3911,https://dblp.org/pid/163/3911.html,4
alon halevy,united states,facebook,https://dblp.uni-trier.de/pers/h/Halevy:Alon_Y=.html,h-AlonYHalevy,https://dblp.uni-trier.de/pid/h/AlonYHalevy.html,6
